Federal Table 3,,,,,,
FBI Human Trafficking Arrests,,,,,,
"by Field Offices, 2015",,,,,,

FIELD OFFICE,Arrests1,Population Covered,,FIELD OFFICE,Arrests1,Population Covered
ALBANY,6,"4,048,489",,MIAMI ,13,"6,865,823"
ALBUQUERQUE,1,"2,085,109",,MILWAUKEE,2,"5,771,337"
ANCHORAGE,1,"738,432",,MINNEAPOLIS ,5,"7,104,990"
ATLANTA ,11,"10,214,860",,MOBILE,1,"1,996,031"
BALTIMORE,8,"6,952,335",,NEW HAVEN,1,"3,590,886"
BIRMINGHAM ,0,"2,862,948",,NEW ORLEANS ,5,"4,670,724"
BOSTON ,5,"10,510,656",,NEW YORK ,6,"13,562,056"
BUFFALO,7,"2,811,288",,NEWARK,1,"8,093,084"
CHARLOTTE ,2,"10,042,802",,NORFOLK ,7,"1,756,024"
CHICAGO,4,"9,357,607",,OKLAHOMA CITY ,0,"3,911,338"
CINCINNATI ,4,"5,864,801",,OMAHA,1,"5,020,089"
CLEVELAND ,7,"5,748,622",,PHILADELPHIA,6,"9,895,173"
COLUMBIA,1,"4,896,146",,PHOENIX ,1,"6,828,065"
DALLAS ,3,"10,484,907",,PITTSBURGH ,7,"5,616,387"
DENVER ,1,"6,042,681",,PORTLAND,8,"4,028,977"
DETROIT ,12,"9,922,576",,RICHMOND ,5,"3,957,213"
EL PASO ,7,"1,269,646",,SACRAMENTO ,5,"7,938,742"
HONOLULU,0,"1,431,603",,SAINT LOUIS ,3,"2,937,003"
HOUSTON ,15,"8,343,577",,SALT LAKE CITY ,11,"5,683,798"
INDIANAPOLIS ,7,"6,619,680",,SAN ANTONIO ,2,"7,370,984"
JACKSON ,0,"2,992,333",,SAN DIEGO ,10,"3,481,512"
JACKSONVILLE ,7,"5,064,986",,SAN FRANCISCO,1,"8,302,592"
KANSAS CITY,15,"6,058,310",,SAN JUAN2,0,"3,474,182"
KNOXVILLE ,4,"2,588,877",,SEATTLE ,6,"7,170,351"
LAS VEGAS ,6,"2,890,845",,SPRINGFIELD,5,"3,502,388"
LITTLE ROCK ,4,"2,978,204",,TAMPA ,12,"8,340,463"
LOS ANGELES ,0,"19,421,972",,"WASHINGTON, DC",6,"3,341,984"
LOUISVILLE ,3,"4,425,092",,TOTAL,272,"324,893,002"
MEMPHIS ,1,"4,011,422",,,,

1 These arrests were for violations of one of the U.S. Code Sections listed in this table's Methodology.  Arrests were not included for those made in a joint investigation with other agencies when a state or local code was used nor for Human Trafficking cases when a different provision of the U.S.Code was used for the basis of arrest.,,,,,,
,,,,,,,
,,,,,,,
2 Population for the San Juan Field Office is a combination of the U.S. Census Bureau's estimated 2015 commonwealth total for Puerto Rico and the 2010 decennial census total for the U.S. Virgin Islands.,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
